設置縣市,設置市區鄉鎮,設置地址,管轄警局,管轄分局,經度,緯度,拍攝方向,速限
高雄市,小港區,南星路與丹山路,高雄市政府警察局,小港分局,120.35918,22.509518,北向南,50
高雄市,小港區,飛機路153號濟南里活動中心旁,高雄市政府警察局,小港分局,120.35929,22.573195,西向東,40
高雄市,小港區,沿海三路與鳳鳴路,高雄市政府警察局,小港分局,120.362404,22.51092,北向南,50
高雄市,小港區,高鳳路82-76號,高雄市政府警察局,小港分局,120.370346,22.582222,南向北,50
高雄市,小港區,高松、松正路口,高雄市政府警察局,小港分局,120.376785,22.57036,東向西,50
高雄市,小港區,高坪18路與高坪15路,高雄市政府警察局,小港分局,120.39456,22.554989,西向東,50
高雄市,鳳山區,臨海路與南華一路口,高雄市政府警察局,鳳山分局,120.341286,22.597889,南向北,50
高雄市,鳳山區,南華一路保安二街口,高雄市政府警察局,鳳山分局,120.341866,22.597925,東向西,50
高雄市,鳳山區,南華一路與和成路,高雄市政府警察局,鳳山分局,120.344025,22.594791,西向東,60
高雄市,鳳山區,建國路三段與澄清路口,高雄市政府警察局,鳳山分局,120.34483,22.636532,東向西,70
高雄市,鳳山區,國泰路二段與南京路口,高雄市政府警察局,鳳山分局,120.346664,22.620205,北向南,60
高雄市,鳳山區,建國路與青年路口,高雄市政府警察局,鳳山分局,120.35096,22.63744,東向西,70
高雄市,鳳山區,國泰路二段與五甲一路口,高雄市政府警察局,鳳山分局,120.35308,22.616306,北向南,60
高雄市,鳳山區,鳳頂路、過埤路口(西向東),高雄市政府警察局,鳳山分局,120.35834,22.590328,西向東,60
高雄市,鳳山區,鳳頂路與過埤路口,高雄市政府警察局,鳳山分局,120.35902,22.593834,北向南,60
高雄市,鳳山區,鳳頂路與田中央路口,高雄市政府警察局,鳳山分局,120.359215,22.59445,南向北,60
高雄市,鳳山區,鳳山區過埤路與鳳頂路口,高雄市政府警察局,鳳山分局,120.35935,22.590372,東向西,60
高雄市,鳳山區,鳳頂路(台糖加油站對面),高雄市政府警察局,鳳山分局,120.360016,22.598097,北向南,60
高雄市,鳳山區,國泰路一段與鳳頂路口,高雄市政府警察局,鳳山分局,120.36204,22.614567,西向東,50
高雄市,鳳山區,建國路二段與經武路口,高雄市政府警察局,鳳山分局,120.363304,22.635294,西向東,70
高雄市,鳳山區,維武路陸軍官校側門以北50公尺處,高雄市政府警察局,鳳山分局,120.365395,22.618025,北向南,40
高雄市,鳳山區,中山東路、仁愛路口,高雄市政府警察局,鳳山分局,120.37215,22.624784,北向南,50
高雄市,林園區,中門路與南星路口(快車道),高雄市政府警察局,林園分局,120.3628,22.510351,南向北,70
高雄市,林園區,中門路與南星路口(慢車道),高雄市政府警察局,林園分局,120.36288,22.510414,南向北,50
高雄市,林園區,沿海路林園南路口,高雄市政府警察局,林園分局,120.3961,22.500326,西向東,60
高雄市,林園區,台25線14.5公里處,高雄市政府警察局,林園分局,120.405396,22.534346,北向南,60
高雄市,大寮區,內坑路161之21號前,高雄市政府警察局,林園分局,120.37998,22.589094,西向東,60
高雄市,大寮區,內坑路與仁德路口,高雄市政府警察局,林園分局,120.38432,22.589376,東向西,60
高雄市,大寮區,鳳屏一路與民貴街口,高雄市政府警察局,林園分局,120.38517,22.631304,東向西,50
高雄市,大寮區,新厝路119-31號以西60公尺處,高雄市政府警察局,林園分局,120.40384,22.561409,東西向,50
高雄市,大寮區,鳳林二路、光華路口,高雄市政府警察局,林園分局,120.40737,22.581043,南向北,70
高雄市,大寮區,台88線快速道路西向東7.4公里處,高雄市政府警察局,林園分局,120.409294,22.58654,西向東,90
高雄市,大寮區,大寮區鳳屏二路高屏大橋高雄端,高雄市政府警察局,林園分局,120.41329,22.641577,東西向,70
高雄市,大寮區,台29線108.4公里處,高雄市政府警察局,林園分局,120.41476,22.532354,北向南,60
高雄市,大寮區,光明路二段與大寮路口,高雄市政府警察局,,120.419685,22.591167,北向南,60
高雄市,大寮區,台29線96.5公里處,高雄市政府警察局,林園分局,120.42427,22.625746,南向北,60
高雄市,大寮區,台88線快速道路東向西10公里處大發交流道前,高雄市政府警察局,林園分局,120.43338,22.592665,東向西,90
高雄市,大寮區,河堤路三段與公園街,高雄市政府警察局,林園分局,120.433495,22.569546,北向南,50
高雄市,大樹區,大樹區興山路興山橋旁,高雄市政府警察局,仁武分局,120.423904,22.694601,西向東,50
高雄市,大樹區,大樹區台22線14K處,高雄市政府警察局,仁武分局,120.43045,22.775007,東西向,50
高雄市,大樹區,大坑路台29線86K處,高雄市政府警察局,仁武分局,120.439255,22.70776,南北向,70
高雄市,大社區,大社區中山路521-9號旁,高雄市政府警察局,仁武分局,120.35747,22.730787,東向西,50
高雄市,大社區,和平路二段與中華路14巷口,高雄市政府警察局,仁武分局,120.35988,22.725449,東向西,60
高雄市,大社區,和平路一段710-1號前,高雄市政府警察局,仁武分局,120.360504,22.732006,東向西,60
高雄市,大社區,大社區學府路94巷口前50公尺處(往大社市區),高雄市政府警察局,仁武分局,120.37544,22.735556,東向西,40
高雄市,仁武區,高楠公路與八德二路口,高雄市政府警察局,仁武分局,120.32345,22.70101,南向北,60
高雄市,仁武區,鳳仁路183線2.45公里中央分隔島,高雄市政府警察局,仁武分局,120.33939,22.710386,北向南,60
高雄市,仁武區,澄觀路與八德南路,高雄市政府警察局,仁武分局,120.34047,22.68022,東向西,50
高雄市,仁武區,仁雄路與澄仁路口,高雄市政府警察局,仁武分局,120.345924,22.67725,西向東,50
高雄市,仁武區,鳳仁路與新庄路,高雄市政府警察局,仁武分局,120.34936,22.693321,北向南,60
高雄市,仁武區,澄觀路與鳳仁路口,高雄市政府警察局,仁武分局,120.35326,22.686092,東向西,60
高雄市,仁武區,澄觀路1段(新庄路以西150公尺處),高雄市政府警察局,仁武分局,120.35793,22.694105,北向南,60
高雄市,仁武區,鳳仁路與成功路口,高雄市政府警察局,仁武分局,120.35851,22.676083,南向北,60
高雄市,仁武區,鳳仁路5-13號前,高雄市政府警察局,仁武分局,120.359085,22.675001,南北向,60
高雄市,仁武區,澄觀路與仁林路口,高雄市政府警察局,仁武分局,120.359764,22.701334,西向東,60
高雄市,仁武區,水管路與澄觀路口,高雄市政府警察局,仁武分局,120.36052,22.703672,東向西,60
高雄市,仁武區,水管路3段(高52-1線4K處),高雄市政府警察局,仁武分局,120.364,22.702818,東向西,60
高雄市,仁武區,義大二路與公館1巷3號前,高雄市政府警察局,仁武分局,120.39001,22.715528,北向南,60
高雄市,鳥松區,松藝路段(南往北往八德南路方向),高雄市政府警察局,仁武分局,120.34072,22.659094,南向北,40
高雄市,鳥松區,松藝路段(北往南往圓山路方向),高雄市政府警察局,仁武分局,120.34302,22.669724,北向南,40
高雄市,岡山區,高雄市岡山區岡山北路267號前,高雄市政府警察局,岡山分局,120.27358,22.817284,南北向,60
高雄市,岡山區,大德一路與中山北路,高雄市政府警察局,岡山分局,120.29846,22.796618,西向東,50
高雄市,岡山區,介壽東路與和平路口,高雄市政府警察局,岡山分局,120.30418,22.785051,東向西,60
高雄市,岡山區,嘉新東路與聖森路,高雄市政府警察局,岡山分局,120.31085,22.807526,西向東,60
高雄市,岡山區,介壽東路與岡燕路,高雄市政府警察局,岡山分局,120.31535,22.786663,東向西,60
高雄市,岡山區,嘉峰路高鐵橋下,高雄市政府警察局,岡山分局,120.315475,22.832905,北向南,50
高雄市,橋頭區,白樹路206號前,高雄市政府警察局,岡山分局,120.301926,22.757471,西向東,50
高雄市,橋頭區,成功北路筆秀路口,高雄市政府警察局,岡山分局,120.30529,22.768,南向北,70
高雄市,橋頭區,成功北路與鐵道北路,高雄市政府警察局,岡山分局,120.30574,22.767155,北向南,60
高雄市,橋頭區,成功路與新興路,高雄市政府警察局,岡山分局,120.30955,22.759935,北向南,60
高雄市,橋頭區,橋頭區成功南路與仕隆路口,高雄市政府警察局,岡山分局,120.311584,22.754934,北向南,60
高雄市,燕巢區,旗楠路段〈鳳旗路44號之10旁〉,高雄市政府警察局,岡山分局,120.35628,22.755226,東向西,50
高雄市,燕巢區,燕巢區中興路與南一巷口(燕巢國中前),高雄市政府警察局,岡山分局,120.362366,22.78693,北向南,60
高雄市,燕巢區,鳳澄路7之32號前,高雄市政府警察局,岡山分局,120.36395,22.758595,北向南,60
高雄市,燕巢區,台22線樹德科技前路口,高雄市政府警察局,岡山分局,120.37463,22.764708,西向東,50
高雄市,燕巢區,台22線深水國小前路口,高雄市政府警察局,岡山分局,120.391426,22.772251,東向西,50
高雄市,燕巢區,台22線高應大前路口,高雄市政府警察局,岡山分局,120.40064,22.772306,東向西,60
高雄市,田寮區,台28線20K往西436公尺處(往阿蓮方向),高雄市政府警察局,湖內分局,120.40055,22.89416,東向西,50
高雄市,田寮區,鹿埔路19號前,高雄市政府警察局,湖內分局,120.42328,22.887613,西向東,50
高雄市,阿蓮區,復安路與玉庫路口(台19甲線往阿蓮市區),高雄市政府警察局,湖內分局,120.32285,22.84498,南向北,60
高雄市,路竹區,路竹區環球路與樹人醫事學校前路口,高雄市政府警察局,湖內分局,120.26041,22.880974,西向東,60
高雄市,路竹區,中山路與國昌路口,高雄市政府警察局,湖內分局,120.261246,22.854364,北向南,70
高雄市,路竹區,路竹區中山南路47號前路口,高雄市政府警察局,湖內分局,120.264824,22.836018,南向北,60
高雄市,路竹區,復興路與復興路1133巷口,高雄市政府警察局,湖內分局,120.28646,22.831896,南向北,50
高雄市,路竹區,環球路新生路,高雄市政府警察局,湖內分局,120.29253,22.878794,東向西,50
高雄市,湖內區,和平路與東方路口,高雄市政府警察局,湖內分局,120.22501,22.876429,南向北,70
高雄市,湖內區,中山路一段與284巷口,高雄市政府警察局,湖內分局,120.244675,22.886343,南向北,60
高雄市,茄萣區,高1-1線與崎漏路口,高雄市政府警察局,湖內分局,120.210884,22.876348,東向西,60
高雄市,永安區,保安路與維新路口,高雄市政府警察局,岡山分局,120.24038,22.812845,南向北,60
高雄市,永安區,台17線(保安路)201.2K處,高雄市政府警察局,岡山分局,120.24047,22.818577,南北向,70
高雄市,旗山區,台29線(旗南三路)75.3K處,高雄市政府警察局,旗山分局,120.460945,22.805735,南北向,70
高雄市,旗山區,旗山區旗南三路8號以北50公尺處,高雄市政府警察局,旗山分局,120.462395,22.836103,北向南,70
高雄市,旗山區,台28線29.2公里處,高雄市政府警察局,旗山分局,120.4732,22.883623,西向東,50
高雄市,旗山區,延平1路與旗甲路1段路口,高雄市政府警察局,旗山分局,120.48113,22.898966,北向南,60
高雄市,旗山區,中華路與華中街口,高雄市政府警察局,旗山分局,120.4855,22.887808,西向東,50
高雄市,旗山區,旗甲路一段(圓潭橋前）,高雄市政府警察局,旗山分局,120.4934,22.91339,北向南,60
高雄市,美濃區,美濃區中山路二段359巷口,高雄市政府警察局,旗山分局,120.51985,22.896793,南向北,60
高雄市,美濃區,美興街232號前(月光山隧道),高雄市政府警察局,旗山分局,120.53655,22.912996,南向北,50
高雄市,美濃區,復興街一段480號前,高雄市政府警察局,旗山分局,120.5492,22.870377,北向南,50
高雄市,美濃區,中華路(台28線)與獅山街口,高雄市政府警察局,旗山分局,120.57057,22.878002,東向西,60
高雄市,六龜區,台28線茂林國家風景區管理處前路口,高雄市政府警察局,六龜分局,120.62428,22.88964,北向南,50
高雄市,六龜區,旗六公路新威國小前,高雄市政府警察局,六龜分局,120.62668,22.897558,西向東,60
高雄市,內門區,市道182號28.9K至33.8K( 往東-內門市區方向),高雄市政府警察局,旗山分局,120.421616,22.924803,西向東,50
高雄市,內門區,市道182號28.9K至33.8K( 往西-台南市龍崎區方向),高雄市政府警察局,旗山分局,120.45236,22.925508,東向西,50
高雄市,內門區,旗文路(台三線401.88K),高雄市政府警察局,旗山分局,120.46079,22.917,北向南,60
